Medium_Key,Report_Medium
891,REFERRAL
892,REFERRAL
893,Other
894,Other
895,Other
896,EMAIL
897,AFFILIATE
898,AFFILIATE
899,AFFILIATE
900,Other
901,AFFILIATE
902,AFFILIATE
903,SOCIAL
904,Other
905,REFERRAL
906,AFFILIATE
907,Other
908,Other
909,Other
910,REFERRAL
911,SOCIAL
912,EMAIL
913,AFFILIATE
914,AFFILIATE
915,Other
916,Other
917,Other
918,EMAIL
919,EMAIL
920,Other
921,AFFILIATE
922,Other
923,Other
924,EMAIL
925,EMAIL
926,Other
927,EMAIL
928,Other
929,Other
930,Other
931,EMAIL
932,Other
933,EMAIL
934,EMAIL
935,EMAIL
936,EMAIL
937,EMAIL
938,EMAIL
939,Other
940,Other
941,EMAIL
942,EMAIL
943,Other
944,Other
945,Other
946,EMAIL
947,EMAIL
948,Other
949,EMAIL
950,EMAIL
951,Other
952,EMAIL
953,Other
954,Other
955,EMAIL
956,EMAIL
957,Other
958,EMAIL
959,Other
960,EMAIL
961,Other
962,EMAIL
963,Other
964,Other
965,EMAIL
966,Other
967,Other
968,Other
969,EMAIL
970,Other
971,EMAIL
972,EMAIL
973,Other
974,EMAIL
975,EMAIL
976,Other
977,EMAIL
978,Other
979,EMAIL
980,EMAIL
981,Other
982,Other
983,Other
984,EMAIL
985,EMAIL
986,Other
1985,Other
1986,AFFILIATE
1987,AFFILIATE
1988,AFFILIATE
1989,SOCIAL
1990,AFFILIATE
1991,AFFILIATE
1992,AFFILIATE
1993,AFFILIATE
1994,SOCIAL
1995,AFFILIATE
1996,SOCIAL
1997,SOCIAL
1998,SOCIAL
1999,AFFILIATE
2000,AFFILIATE
2001,SOCIAL
2002,SOCIAL
2003,SOCIAL
2004,AFFILIATE
2005,AFFILIATE
2006,SOCIAL
2007,AFFILIATE
2008,AFFILIATE
2009,SOCIAL
2010,EMAIL
2011,AFFILIATE
2012,AFFILIATE
2013,Other
2014,EMAIL
2015,Other
2016,Other
2017,REFERRAL
2018,Other
2019,Other
2020,EMAIL
2021,Other
2022,EMAIL
2023,AFFILIATE
2024,AFFILIATE
2025,EMAIL
