"Category_Level_2Accessories","Category_Level_2Bags","Category_Level_2Beauty.Boxes","Category_Level_2Body.Care","Category_Level_2Books","Category_Level_2Clothing","Category_Level_2DVD.and.Blu.Ray","Category_Level_2Footwear","Category_Level_2Fragrance","Category_Level_2Games","Category_Level_2Garden","Category_Level_2Gifting","Category_Level_2Gifts","Category_Level_2Hair.Care","Category_Level_2Health.and.Beauty.Electricals","Category_Level_2Health.and.Beauty.Gift.Sets","Category_Level_2Homeware","Category_Level_2Make.Up","Category_Level_2Merchandise","Category_Level_2Music","Category_Level_2Nail.Care","Category_Level_2NULL","Category_Level_2Shaving","Category_Level_2Skin.Care","Category_Level_2Sports","Category_Level_2Sports.Nutrition","Category_Level_2Tech","Category_Level_2Toys","Delivery_Option_Type_Key","Payment_Method_Key","Locale_Key","Order_Sequence_No","Medium_Key","Campaign_Key","Order_Payment_Status_Key","Payment_Provider_Key","Ordered_Product_Key","Product_Charge_Price","Ordered_Qty","Cancelled_Qty","pay_key_num","num_valid","count","prop","status","canc_prop","ship_status","fraud_status","destination_int","priority_int","occupation_int","Site_Key"
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,2,1,118,2,0,2,2443649,15.9613,1,1,0,2,2,1,2,1,1,0,2,1,1,"153"
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,2,1,118,2,0,2,2429136,9.5768,1,0,0,2,2,1,2,0,1,0,2,1,1,"153"
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,2,6,1,2,0,2,2364379,0.3278,3,3,0,15,15,1,2,1,1,0,2,1,1,"153"
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,2,6,1,2,0,2,2364380,0.3278,3,3,0,15,15,1,2,1,1,0,2,1,1,"153"
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,2,6,1,2,0,2,2364381,0.32,3,3,0,15,15,1,2,1,1,0,2,1,1,"153"
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,3,59,125405,0,3,2360925,9.3661,1,0,0,5,5,1,2,0,1,0,2,1,1,"153"
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,3,59,125405,0,3,2293559,9.3661,1,0,0,5,5,1,2,0,1,0,2,1,1,"153"
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,3,59,125405,0,3,2258695,10.529,1,0,0,5,5,1,2,0,1,0,2,1,1,"153"
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,3,59,125405,0,3,2258696,10.529,1,0,0,5,5,1,2,0,1,0,2,1,1,"153"
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,2,7,1,2,0,2,2364372,0.7181,3,3,0,15,15,1,2,1,1,0,2,1,1,"153"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,-1,2,7,1,2,0,2,1854258,0.6556,3,3,0,15,15,1,2,1,1,0,2,1,1,"153"
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,2,7,1,2,0,2,2364373,0.7181,3,3,0,15,15,1,2,1,1,0,2,1,1,"153"
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,2,2,48,8055,0,1,2137144,9.3661,1,0,0,2,2,1,2,0,1,0,2,1,1,"153"
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,2,2,48,8055,0,1,2252331,9.3661,1,0,0,2,2,1,2,0,1,0,2,1,1,"153"
